Frame,alignment,cohesion,collisionCount,neighbourhoodSize,separation,visibleSize,polerization
1,106.656420,13266.754287,0.000000,3.120000,46.952580,3.080000,0.179714
2,102.195953,13260.157446,0.000000,3.200000,46.125398,3.140000,0.035352
3,102.044829,13252.639074,0.000000,3.200000,45.197338,3.140000,0.043317
4,102.143432,13245.219182,0.000000,3.240000,44.232968,3.180000,0.045081
5,103.025922,13237.878075,0.000000,3.280000,43.194784,3.220000,0.018073
6,103.259468,13231.161970,0.000000,3.380000,42.055057,3.240000,0.033618
7,105.096458,13225.410007,0.000000,3.480000,41.021691,3.320000,0.039681
8,107.612046,13219.931170,0.000000,3.480000,40.073731,3.260000,0.047954
9,105.977676,13214.372647,0.000000,3.560000,38.928262,3.300000,0.040702
10,107.123941,13209.863119,1.000000,3.760000,38.010336,3.520000,0.050783
11,108.807096,13206.213857,1.000000,3.900000,36.950301,3.660000,0.093362
12,109.856821,13203.953155,1.000000,3.980000,35.896414,3.720000,0.095019
13,110.636512,13201.559936,1.000000,4.120000,34.703170,3.800000,0.129051
14,110.795905,13198.558612,0.000000,4.180000,33.479003,3.840000,0.126601
15,109.899940,13195.531312,1.000000,4.240000,32.223821,3.880000,0.123844
16,108.974878,13192.199097,2.000000,4.320000,30.984691,3.920000,0.071799
17,108.430382,13189.110166,2.000000,4.420000,29.551296,3.980000,0.104872
18,107.341845,13186.379221,2.000000,4.500000,28.386755,4.020000,0.020888
19,106.803841,13183.584717,2.000000,4.620000,27.143714,4.080000,0.055655
20,104.874623,13180.786479,2.000000,4.720000,25.961270,4.060000,0.038408
21,106.409717,13178.390495,3.000000,4.780000,24.644118,4.140000,0.082644
22,102.329556,13176.540958,7.000000,4.840000,23.932442,4.180000,0.107641
23,105.334153,13174.667339,8.000000,4.940000,22.826339,4.280000,0.015873
24,101.775677,13169.191410,8.000000,4.960000,22.186682,4.180000,0.158111
25,107.342361,13169.325922,9.000000,5.020000,21.302009,4.260000,0.130415
26,99.764615,13165.029608,11.000000,5.140000,20.809651,4.320000,0.213944
27,108.975149,13163.432439,13.000000,5.220000,19.926272,4.320000,0.097594
28,100.167484,13159.167234,15.000000,5.300000,19.480601,4.380000,0.109707
29,106.018977,13157.428078,16.000000,5.340000,18.830839,4.520000,0.102119
30,103.348538,13149.880453,18.000000,5.400000,18.487410,4.480000,0.110946
31,103.710461,13145.410146,22.000000,5.400000,17.932583,4.480000,0.115930
32,102.209367,13138.270409,26.000000,5.420000,17.304353,4.400000,0.124775
33,99.978325,13131.937140,26.000000,5.440000,16.983738,4.280000,0.096437
34,101.688811,13127.845378,30.000000,5.460000,16.354837,4.360000,0.101235
35,99.977614,13116.841076,32.000000,5.640000,15.750879,4.400000,0.105600
36,100.698972,13109.011726,33.000000,5.820000,15.368186,4.340000,0.046399
37,102.244073,13096.706250,36.000000,6.100000,15.200822,4.580000,0.020136
38,97.491163,13085.827516,37.000000,6.200000,14.959225,4.560000,0.072462
39,96.982042,13071.517515,47.000000,6.260000,14.484059,4.760000,0.141277
40,97.252457,13056.957962,47.000000,6.340000,14.276022,4.660000,0.089112
41,99.954085,13044.447273,51.000000,6.460000,13.635870,4.660000,0.056396
42,98.663276,13029.332299,55.000000,6.700000,13.540516,4.720000,0.080196
43,100.765837,13016.738222,58.000000,6.860000,13.145137,4.940000,0.091913
44,104.475682,13000.898420,59.000000,6.960000,12.961104,4.940000,0.088394
45,103.235297,12988.924717,64.000000,7.080000,12.594389,4.980000,0.056938
46,106.198951,12970.300049,71.000000,7.180000,12.444218,5.300000,0.075257
47,106.199438,12958.197598,73.000000,7.260000,12.140890,5.280000,0.056764
48,110.269947,12936.934806,73.000000,7.480000,11.858901,5.280000,0.099719
49,104.847582,12924.379214,72.000000,7.580000,11.768466,5.500000,0.030382
50,106.670810,12905.469779,77.000000,7.680000,11.340513,5.620000,0.056043
51,101.402272,12892.878209,78.000000,7.800000,11.350068,5.660000,0.082424
52,105.510161,12873.131538,80.000000,7.860000,10.823636,5.520000,0.092096
53,101.135524,12858.117897,81.000000,7.940000,10.923963,5.460000,0.088588
54,102.799599,12838.946464,82.000000,8.000000,10.539317,5.320000,0.073745
55,95.305495,12822.138404,85.000000,8.000000,10.477852,5.200000,0.187945
56,100.269501,12806.624816,88.000000,8.040000,10.152970,5.100000,0.049021
57,95.223161,12788.775459,88.000000,8.080000,10.149004,5.160000,0.173884
58,102.379076,12773.141930,87.000000,8.180000,9.818716,5.140000,0.022048
59,96.925293,12752.529702,87.000000,8.340000,9.635842,4.980000,0.117783
60,105.821593,12736.725664,86.000000,8.420000,9.521878,5.020000,0.026906
61,99.503764,12717.637816,87.000000,8.520000,9.380634,5.000000,0.086367
62,104.874291,12700.268887,86.000000,8.580000,9.049516,4.960000,0.057759
63,98.358269,12683.857735,87.000000,8.660000,9.034257,4.880000,0.087428
64,104.963905,12668.030198,89.000000,8.820000,8.781937,4.920000,0.033734
65,98.014257,12652.039663,97.000000,8.840000,8.720466,4.960000,0.097697
66,106.562616,12636.311112,104.000000,8.860000,8.514922,5.180000,0.085036
67,95.858297,12622.169633,108.000000,8.940000,8.425834,5.240000,0.124478
68,105.394785,12606.059323,125.000000,8.940000,8.295188,5.400000,0.113299
69,94.618414,12593.980659,125.000000,8.960000,8.039997,5.380000,0.197102
70,105.931077,12576.554746,143.000000,8.960000,7.914598,5.480000,0.077486
71,94.691647,12565.645293,155.000000,9.040000,7.689921,5.820000,0.137041
72,103.468731,12551.520275,172.000000,9.080000,7.670715,6.100000,0.048870
73,94.718797,12541.533097,172.000000,9.080000,7.487351,5.860000,0.108691
74,103.162036,12529.683669,198.000000,9.120000,7.493397,6.220000,0.028674
75,94.964665,12520.837737,210.000000,9.180000,7.257923,6.200000,0.058341
76,101.650640,12508.566531,225.000000,9.300000,7.114047,6.420000,0.034027
77,98.828445,12501.290514,235.000000,9.400000,7.009894,6.500000,0.072941
78,103.037072,12488.918108,241.000000,9.400000,6.647778,6.920000,0.056383
79,102.979807,12482.545008,247.000000,9.400000,6.563085,6.880000,0.099864
80,96.111928,12474.904029,250.000000,9.400000,6.362517,7.020000,0.146932
81,106.472679,12468.236582,255.000000,9.440000,6.203501,6.980000,0.076845
82,94.816251,12460.254961,260.000000,9.560000,6.062554,7.120000,0.191904
83,105.297087,12453.905912,260.000000,9.600000,5.998386,6.920000,0.113927
84,95.639123,12443.259846,262.000000,9.600000,5.777082,7.180000,0.189832
85,107.678280,12437.246212,261.000000,9.620000,5.747135,7.060000,0.136450
86,95.279698,12426.128208,265.000000,9.660000,5.483063,7.040000,0.171403
87,106.508205,12420.986925,265.000000,9.800000,5.482746,7.200000,0.135304
88,96.287770,12410.140827,270.000000,9.840000,5.260683,7.120000,0.159350
89,106.909622,12406.641725,274.000000,9.840000,5.280726,7.280000,0.104686
90,99.063021,12396.733563,276.000000,9.840000,5.089039,7.200000,0.098816
91,104.010936,12393.509245,278.000000,9.840000,4.959362,7.320000,0.119987
92,101.783400,12385.215316,279.000000,9.840000,4.859000,7.160000,0.188560
93,100.129963,12381.491238,280.000000,9.840000,4.614606,7.220000,0.138972
94,102.966516,12372.753678,281.000000,9.840000,4.525572,7.180000,0.179260
95,100.103543,12368.652825,281.000000,9.860000,4.352223,7.160000,0.086365
96,102.223652,12359.451922,286.000000,9.860000,4.262340,7.320000,0.147439
97,99.744059,12354.401427,290.000000,9.880000,4.115366,7.420000,0.037154
98,100.459478,12346.645520,296.000000,9.880000,4.001214,7.540000,0.076595
99,101.903559,12338.598664,300.000000,9.880000,3.894037,7.700000,0.010431
100,103.512370,12333.835992,301.000000,9.880000,3.726527,7.560000,0.071548
101,104.935177,12326.736862,304.000000,9.880000,3.687346,7.600000,0.044210
102,104.686274,12320.759015,311.000000,9.880000,3.497735,7.520000,0.076859
103,104.875214,12315.032598,318.000000,9.900000,3.552839,7.640000,0.054376
104,104.454572,12306.455601,329.000000,9.920000,3.275389,7.660000,0.093893
105,106.869194,12303.989494,322.000000,9.920000,3.338599,7.720000,0.039561
106,100.324194,12292.704778,340.000000,9.960000,2.992065,8.020000,0.126487
107,107.357647,12296.689538,322.000000,9.960000,3.129654,7.660000,0.037546
108,101.359167,12282.007385,341.000000,9.960000,2.767247,7.920000,0.192920
109,107.165904,12289.309471,326.000000,9.960000,2.869154,7.560000,0.092084
110,105.203832,12274.204623,344.000000,9.960000,2.704507,8.040000,0.214236
111,103.030566,12279.947591,338.000000,9.960000,2.756204,7.680000,0.128172
112,111.940384,12265.401782,349.000000,9.960000,2.627380,8.080000,0.292088
113,101.019116,12264.623823,360.000000,9.960000,2.648130,8.140000,0.141190
114,115.304303,12256.058964,360.000000,9.960000,2.524185,8.220000,0.252809
115,100.955998,12253.732317,366.000000,9.960000,2.557925,8.180000,0.133856
116,114.975361,12250.685075,368.000000,9.980000,2.538441,8.260000,0.194699
